meter_id,date,temp_normed,log_mean_z,log_std_z
23,2018-09-14,0.8441723,-0.81533945,-0.8944003
0,2018-09-15,0.90637976,-1.0254546,-0.84456897
1,2018-09-15,0.90637976,-0.68522745,-0.39210927
2,2018-09-15,0.90637976,-2.591005,-1.5937899
3,2018-09-15,0.90637976,-0.19719394,0.121972434
4,2018-09-15,0.90637976,0.7015854,-1.8432983
5,2018-09-15,0.90637976,0.69939566,-0.61392456
6,2018-09-15,0.90637976,-0.26884797,-2.2680686
7,2018-09-15,0.90637976,-1.3237108,-0.91445285
8,2018-09-15,0.90637976,-1.0219978,-0.3871672
9,2018-09-15,0.90637976,0.29571816,-0.078597374
10,2018-09-15,0.90637976,-0.5868826,-1.3112265
11,2018-09-15,0.90637976,-0.6556404,-0.35922748
12,2018-09-15,0.90637976,0.40564516,0.5148318
13,2018-09-15,0.90637976,-0.973653,-1.1915069
14,2018-09-15,0.90637976,-1.0271939,0.20986904
15,2018-09-15,0.90637976,1.3213472,0.11048744
16,2018-09-15,0.90637976,0.3236532,0.691469
17,2018-09-15,0.90637976,0.20333962,0.49646977
18,2018-09-15,0.90637976,-1.0916398,-0.20014942
19,2018-09-15,0.90637976,-0.49355713,-0.09801706
20,2018-09-15,0.90637976,1.5064149,0.8474663
21,2018-09-15,0.90637976,-2.1467924,-1.7147784
22,2018-09-15,0.90637976,-1.2740924,-0.8905751
23,2018-09-15,0.90637976,-0.6232136,-0.4395141
0,2018-09-16,0.9852073,-1.1028318,-0.7182164
1,2018-09-16,0.9852073,-0.6854023,-0.18014039
2,2018-09-16,0.9852073,-2.6795826,-2.0064633
3,2018-09-16,0.9852073,-0.25920644,-0.014002547
4,2018-09-16,0.9852073,0.6491878,-1.9000953
5,2018-09-16,0.9852073,0.6838424,-0.6151508
6,2018-09-16,0.9852073,-0.28197846,-2.3278413
7,2018-09-16,0.9852073,-1.3545507,-0.73336947
8,2018-09-16,0.9852073,-1.0455782,-0.35640788
9,2018-09-16,0.9852073,-0.023890033,-0.16293044
10,2018-09-16,0.9852073,-0.6775944,-0.8951492
11,2018-09-16,0.9852073,-0.6469467,-0.36873022
12,2018-09-16,0.9852073,0.3098552,0.37852135
13,2018-09-16,0.9852073,-1.0446657,-1.1468251
